New Privately Owned Housing Units Authorized,,,,,,,,,,,,,,,,
Unadjusted Units by CBSA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
202505,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Current Month,,,,,,,Year to Date,,,,
,,,,,,,,,,,,,,,,
CSA,CBSA,Name,Metro /Micro Code,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More,,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More
999,21260,"Ellensburg, WA                                              ",5,34,34,0,0,0,0,,134,134,0,0,0,0
236,21300,"Elmira, NY                                                  ",2,7,2,0,0,5,1,,43,18,0,0,25,5
999,21380,"Emporia, KS                                                 ",5,6,4,2,0,0,0,,23,16,4,3,0,0
999,21420,"Enid, OK                                                    ",4,2,2,0,0,0,0,,6,6,0,0,0,0
222,21460,"Enterprise, AL                                              ",5,12,12,0,0,0,0,,82,82,0,0,0,0
240,21500,"Erie, PA                                                    ",2,16,16,0,0,0,0,,65,65,0,0,0,0
999,21540,"Escanaba, MI                                                ",5,3,3,0,0,0,0,,17,15,2,0,0,0
999,21640,"Eufaula, AL-GA                                              ",5,2,2,0,0,0,0,,13,13,0,0,0,0
999,21660,"Eugene-Springfield, OR                                      ",4,102,70,2,0,30,3,,403,338,4,8,53,6
999,21700,"Eureka-Arcata, CA                                           ",5,15,15,0,0,0,0,,180,62,4,11,103,4
999,21740,"Evanston, WY-UT                                             ",5,10,10,0,0,0,0,,60,60,0,0,0,0
241,21780,"Evansville, IN                                              ",2,55,51,4,0,0,0,,296,249,44,3,0,0
999,21820,"Fairbanks-College, AK                                       ",4,7,2,0,0,5,1,,8,3,0,0,5,1
999,21860,"Fairmont, MN                                                ",5,1,1,0,0,0,0,,9,7,2,0,0,0
242,21900,"Fairmont, WV                                                ",5,2,2,0,0,0,0,,7,7,0,0,0,0
456,21980,"Fallon, NV                                                  ",5,2,2,0,0,0,0,,17,17,0,0,0,0
244,22020,"Fargo, ND-MN                                                ",2,184,182,2,0,0,0,,409,348,2,8,51,1
378,22060,"Faribault-Northfield, MN                                    ",5,16,16,0,0,0,0,,41,41,0,0,0,0
476,22100,"Farmington, MO                                              ",5,6,3,0,3,0,0,,44,34,2,3,5,1
999,22140,"Farmington, NM                                              ",4,5,5,0,0,0,0,,32,32,0,0,0,0
246,22180,"Fayetteville, NC                                            ",2,87,83,4,0,0,0,,1292,582,4,0,706,15
290,22190,"Fayetteville, TN                                            ",5,10,10,0,0,0,0,,59,54,2,3,0,0
999,22220,"Fayetteville-Springdale-Rogers, AR                          ",4,416,381,32,3,0,0,,3304,2470,164,14,656,38
999,22260,"Fergus Falls, MN                                            ",5,4,4,0,0,0,0,,42,19,8,0,15,3
248,22300,"Findlay, OH                                                 ",5,32,10,0,4,18,3,,86,33,4,14,35,6
999,22340,"Fitzgerald, GA                                              ",5,0,0,0,0,0,0,,7,7,0,0,0,0
999,22380,"Flagstaff, AZ                                               ",4,29,26,0,3,0,0,,311,146,22,3,140,7
220,22420,"Flint, MI                                                   ",2,46,37,0,0,9,1,,178,164,0,0,14,2
999,22500,"Florence, SC                                                ",4,63,61,2,0,0,0,,312,297,10,0,5,1
250,22520,"Florence-Muscle Shoals, AL                                  ",2,13,13,0,0,0,0,,106,79,0,0,27,5
999,22540,"Fond du Lac, WI                                             ",4,21,17,4,0,0,0,,74,66,8,0,0,0
999,22580,"Forest City, NC                                             ",5,28,28,0,0,0,0,,133,85,2,0,46,3
368,22620,"Forrest City, AR                                            ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,22660,"Fort Collins, CO                                            ",4,112,63,0,0,49,3,,1076,509,8,4,555,18
999,22700,"Fort Dodge, IA                                              ",5,3,3,0,0,0,0,,10,10,0,0,0,0
999,22780,"Fort Leonard Wood, MO                                       ",5,6,6,0,0,0,0,,24,24,0,0,0,0
161,22800,"Fort Madison, IA                                            ",5,6,1,0,0,5,1,,17,7,0,0,10,2
999,22820,"Fort Morgan, CO                                             ",5,19,3,2,3,11,1,,59,23,4,9,23,2
290,22840,"Fort Payne, AL                                              ",5,4,4,0,0,0,0,,22,22,0,0,0,0
999,22900,"Fort Smith, AR-OK                                           ",4,23,17,6,0,0,0,,243,103,130,10,0,0
258,23060,"Fort Wayne, IN                                              ",2,114,112,2,0,0,0,,636,594,2,0,40,2
320,23140,"Frankfort, IN                                               ",5,7,7,0,0,0,0,,32,30,2,0,0,0
336,23180,"Frankfort, KY                                               ",5,31,31,0,0,0,0,,96,96,0,0,0,0
150,23190,"Franklin, KY                                                ",5,13,13,0,0,0,0,,254,78,4,4,168,14
484,23240,"Fredericksburg, TX                                          ",5,5,5,0,0,0,0,,27,27,0,0,0,0
466,23300,"Freeport, IL                                                ",5,3,3,0,0,0,0,,8,8,0,0,0,0
420,23340,"Fremont, NE                                                 ",5,9,3,2,4,0,0,,21,11,6,4,0,0
184,23380,"Fremont, OH                                                 ",5,4,4,0,0,0,0,,15,15,0,0,0,0
260,23420,"Fresno, CA                                                  ",2,306,180,4,0,122,2,,1381,1161,6,0,214,13
999,23460,"Gadsden, AL                                                 ",4,7,7,0,0,0,0,,43,43,0,0,0,0
273,23500,"Gaffney, SC                                                 ",5,13,11,2,0,0,0,,72,62,10,0,0,0
264,23540,"Gainesville, FL                                             ",2,178,93,0,0,85,1,,977,509,4,0,464,7
122,23580,"Gainesville, GA                                             ",2,187,168,0,3,16,3,,741,657,2,17,65,11
206,23620,"Gainesville, TX                                             ",5,12,12,0,0,0,0,,40,38,2,0,0,0
999,23660,"Galesburg, IL                                               ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,23680,"Gallipolis, OH                                              ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,23700,"Gallup, NM                                                  ",5,0,0,0,0,0,0,,1,1,0,0,0,0
999,23780,"Garden City, KS                                             ",5,3,3,0,0,0,0,,17,14,0,3,0,0
456,23820,"Gardnerville Ranchos, NV-CA                                 ",5,43,43,0,0,0,0,,162,162,0,0,0,0
276,23900,"Gettysburg, PA                                              ",2,34,34,0,0,0,0,,196,196,0,0,0,0
999,23940,"Gillette, WY                                                ",5,1,1,0,0,0,0,,6,6,0,0,0,0
150,23980,"Glasgow, KY                                                 ",5,10,10,0,0,0,0,,80,80,0,0,0,0
104,24020,"Glens Falls, NY                                             ",2,26,21,0,0,5,1,,107,95,2,0,10,2
104,24100,"Gloversville, NY                                            ",5,5,5,0,0,0,0,,46,31,0,0,15,3
999,24140,"Goldsboro, NC                                               ",4,107,107,0,0,0,0,,470,470,0,0,0,0
206,24180,"Granbury, TX                                                ",5,29,29,0,0,0,0,,114,114,0,0,0,0
999,24220,"Grand Forks, ND-MN                                          ",4,29,24,0,0,5,1,,79,67,2,0,10,2
999,24260,"Grand Island, NE                                            ",4,30,18,0,12,0,0,,86,45,6,22,13,2
999,24300,"Grand Junction, CO                                          ",4,73,69,4,0,0,0,,331,270,10,0,51,2
228,24330,"Grand Rapids, MN                                            ",5,24,24,0,0,0,0,,38,38,0,0,0,0
266,24340,"Grand Rapids-Wyoming-Kentwood, MI                           ",2,267,236,4,0,27,3,,1576,1112,16,30,418,21
366,24420,"Grants Pass, OR                                             ",2,20,12,8,0,0,0,,132,69,12,0,51,1
999,24460,"Great Bend, KS                                              ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,24500,"Great Falls, MT                                             ",4,13,13,0,0,0,0,,70,64,2,4,0,0
216,24540,"Greeley, CO                                                 ",2,257,252,0,0,5,1,,1351,1172,10,24,145,22
267,24580,"Green Bay, WI                                               ",2,141,60,14,0,67,3,,549,357,28,0,164,12
294,24600,"Greencastle, IN                                             ",5,18,18,0,0,0,0,,41,41,0,0,0,0
304,24620,"Greeneville, TN                                             ",5,27,27,0,0,0,0,,126,126,0,0,0,0
521,24640,"Greenfield, MA                                              ",5,5,5,0,0,0,0,,22,22,0,0,0,0
268,24660,"Greensboro-High Point, NC                                   ",2,478,238,56,0,184,5,,1490,1188,60,0,242,8
294,24700,"Greensburg, IN                                              ",5,6,6,0,0,0,0,,21,21,0,0,0,0
999,24740,"Greenville, MS                                              ",5,1,1,0,0,0,0,,3,3,0,0,0,0
274,24780,"Greenville, NC                                              ",2,86,86,0,0,0,0,,771,701,70,0,0,0
212,24820,"Greenville, OH                                              ",5,7,7,0,0,0,0,,19,19,0,0,0,0
273,24860,"Greenville-Anderson-Greer, SC                               ",2,1098,785,24,3,286,2,,4416,3399,164,3,850,26
999,24900,"Greenwood, MS                                               ",5,0,0,0,0,0,0,,8,3,0,0,5,1
273,24940,"Greenwood, SC                                               ",5,34,34,0,0,0,0,,133,133,0,0,0,0
999,24980,"Grenada, MS                                                 ",5,7,2,0,0,5,1,,44,7,0,0,37,7
999,25060,"Gulfport-Biloxi, MS                                         ",4,352,252,28,0,72,1,,1447,1233,32,8,174,12
999,25100,"Guymon, OK                                                  ",5,1,1,0,0,0,0,,3,3,0,0,0,0
548,25180,"Hagerstown-Martinsburg, MD-WV                               ",2,244,84,0,0,160,2,,715,549,6,0,160,2
999,25200,"Hailey, ID                                                  ",5,27,23,4,0,0,0,,62,53,4,0,5,1
132,25220,"Hammond, LA                                                 ",2,61,56,0,0,5,1,,531,358,2,0,171,7
260,25260,"Hanford-Corcoran, CA                                        ",2,65,28,0,3,34,2,,227,155,6,9,57,6
448,25300,"Hannibal, MO                                                ",5,3,3,0,0,0,0,,22,20,2,0,0,0
276,25420,"Harrisburg-Carlisle, PA                                     ",2,97,82,0,0,15,3,,498,390,2,20,86,13
999,25460,"Harrison, AR                                                ",5,3,1,2,0,0,0,,55,7,6,0,42,3
277,25500,"Harrisonburg, VA                                            ",2,57,49,8,0,0,0,,401,281,24,0,96,4
405,25540,"Hartford-West Hartford-East Hartford, CT                    ",2,67,46,0,0,21,2,,490,244,6,7,233,9
999,25580,"Hastings, NE                                                ",5,5,5,0,0,0,0,,20,20,0,0,0,0
279,25620,"Hattiesburg, MS                                             ",2,12,12,0,0,0,0,,46,46,0,0,0,0
999,25700,"Hays, KS                                                    ",5,3,3,0,0,0,0,,15,13,2,0,0,0
482,25720,"Heber, UT                                                   ",5,137,72,0,0,65,5,,692,416,2,4,270,11
999,25740,"Helena, MT                                                  ",4,54,14,0,22,18,3,,104,55,6,25,18,3
408,25770,"Hemlock Farms, PA                                           ",5,11,11,0,0,0,0,,65,65,0,0,0,0
241,25775,"Henderson, KY                                               ",5,6,6,0,0,0,0,,80,30,2,0,48,2
450,25780,"Henderson, NC                                               ",5,54,54,0,0,0,0,,79,79,0,0,0,0
999,25820,"Hereford, TX                                                ",5,5,1,4,0,0,0,,13,5,8,0,0,0
999,25840,"Hermiston-Pendleton, OR                                     ",5,31,25,6,0,0,0,,123,113,10,0,0,0
430,25850,"Hermitage, PA                                               ",5,3,3,0,0,0,0,,30,30,0,0,0,0
172,25860,"Hickory-Lenoir-Morganton, NC                                ",2,257,203,14,0,40,3,,1360,1030,60,4,266,15
999,25880,"Hillsdale, MI                                               ",5,4,4,0,0,0,0,,29,22,0,0,7,1
999,25900,"Hilo-Kailua, HI                                             ",5,85,85,0,0,0,0,,551,549,2,0,0,0
999,25940,"Hilton Head Island-Bluffton-Port Royal, SC                  ",4,199,196,0,3,0,0,,1167,1086,0,6,75,3
496,25980,"Hinesville, GA                                              ",2,46,46,0,0,0,0,,221,221,0,0,0,0
999,26020,"Hobbs, NM                                                   ",5,14,14,0,0,0,0,,46,46,0,0,0,0
266,26090,"Holland, MI                                                 ",5,43,43,0,0,0,0,,173,165,8,0,0,0
999,26140,"Homosassa Springs, FL                                       ",4,207,197,4,0,6,1,,938,926,6,0,6,1
999,26220,"Hood River, OR                                              ",5,7,7,0,0,0,0,,147,14,0,3,130,6
284,26300,"Hot Springs, AR                                             ",2,7,7,0,0,0,0,,50,50,0,0,0,0
999,26340,"Houghton, MI                                                ",5,12,10,2,0,0,0,,41,37,4,0,0,0
999,26380,"Houma-Bayou Cane-Thibodaux, LA                              ",4,56,44,12,0,0,0,,283,269,14,0,0,0
288,26420,"Houston-Pasadena-The Woodlands, TX                          ",2,5811,4596,278,0,937,53,,29716,21983,902,54,6777,230
104,26460,"Hudson, NY                                                  ",5,8,8,0,0,0,0,,56,56,0,0,0,0
107,26500,"Huntingdon, PA                                              ",5,6,6,0,0,0,0,,24,24,0,0,0,0
258,26540,"Huntington, IN                                              ",5,5,5,0,0,0,0,,23,23,0,0,0,0
170,26580,"Huntington-Ashland, WV-KY-OH                                ",2,44,22,2,0,20,1,,170,97,24,9,40,2
290,26620,"Huntsville, AL                                              ",2,319,292,0,12,15,3,,1797,1482,2,24,289,7
288,26660,"Huntsville, TX                                              ",5,40,40,0,0,0,0,,252,252,0,0,0,0
999,26700,"Huron, SD                                                   ",5,2,2,0,0,0,0,,9,9,0,0,0,0
999,26740,"Hutchinson, KS                                              ",5,2,2,0,0,0,0,,12,12,0,0,0,0
378,26780,"Hutchinson, MN                                              ",5,4,4,0,0,0,0,,15,15,0,0,0,0
292,26820,"Idaho Falls, ID                                             ",2,81,81,0,0,0,0,,716,393,0,8,315,13
430,26860,"Indiana, PA                                                 ",5,3,3,0,0,0,0,,13,13,0,0,0,0
294,26900,"Indianapolis-Carmel-Greenwood, IN                           ",2,1234,908,4,4,318,15,,4648,3989,70,18,571,35
168,26980,"Iowa City, IA                                               ",2,58,47,0,3,8,1,,507,174,12,7,314,9
361,27020,"Iron Mountain, MI-WI                                        ",5,10,7,0,3,0,0,,38,29,0,9,0,0
296,27060,"Ithaca, NY                                                  ",2,62,5,0,0,57,2,,215,53,8,0,154,11
999,27100,"Jackson, MI                                                 ",4,35,20,0,0,15,1,,99,78,0,0,21,2
298,27140,"Jackson, MS                                                 ",2,125,125,0,0,0,0,,487,484,0,3,0,0
999,27180,"Jackson, TN                                                 ",4,44,40,4,0,0,0,,186,182,4,0,0,0
999,27220,"Jackson, WY-ID                                              ",5,34,34,0,0,0,0,,170,159,0,6,5,1
300,27260,"Jacksonville, FL                                            ",2,1194,918,0,0,276,8,,5898,4194,30,0,1674,58
522,27300,"Jacksonville, IL                                            ",5,0,0,0,0,0,0,,3,1,2,0,0,0
999,27340,"Jacksonville, NC                                            ",4,114,114,0,0,0,0,,725,713,12,0,0,0
540,27380,"Jacksonville, TX                                            ",5,1,1,0,0,0,0,,14,14,0,0,0,0
999,27420,"Jamestown, ND                                               ",5,2,2,0,0,0,0,,7,7,0,0,0,0
999,27460,"Jamestown-Dunkirk, NY                                       ",5,7,7,0,0,0,0,,55,55,0,0,0,0
357,27500,"Janesville-Beloit, WI                                       ",2,22,22,0,0,0,0,,149,117,16,0,16,2
999,27540,"Jasper, IN                                                  ",5,23,3,20,0,0,0,,77,57,20,0,0,0
190,27620,"Jefferson City, MO                                          ",2,19,19,0,0,0,0,,91,85,0,6,0,0
122,27600,"Jefferson, GA                                               ",5,163,158,0,0,5,1,,845,829,0,0,16,3
496,27700,"Jesup, GA                                                   ",5,8,8,0,0,0,0,,49,45,4,0,0,0
304,27740,"Johnson City, TN                                            ",2,97,90,4,3,0,0,,414,400,6,3,5,1
306,27780,"Johnstown, PA                                               ",2,13,10,0,3,0,0,,27,24,0,3,0,0
308,27860,"Jonesboro, AR                                               ",2,77,49,6,17,5,1,,454,279,38,85,52,8
309,27900,"Joplin, MO-KS                                               ",2,72,63,4,0,5,1,,260,215,22,3,20,4
999,27940,"Juneau, AK                                                  ",5,11,3,0,8,0,0,,75,8,0,8,59,2
999,27980,"Kahului-Wailuku, HI                                         ",4,137,83,10,0,44,2,,575,307,64,0,204,6
310,28020,"Kalamazoo-Portage, MI                                       ",2,31,27,4,0,0,0,,241,237,4,0,0,0
999,28060,"Kalispell, MT                                               ",5,19,15,4,0,0,0,,152,72,4,0,76,7
176,28100,"Kankakee, IL                                                ",2,10,10,0,0,0,0,,53,50,0,3,0,0
312,28140,"Kansas City, MO-KS                                          ",2,625,501,8,36,80,3,,3518,2072,54,96,1296,55
999,28180,"Kapaa, HI                                                   ",5,13,13,0,0,0,0,,76,76,0,0,0,0
999,28260,"Kearney, NE                                                 ",5,9,9,0,0,0,0,,54,54,0,0,0,0
313,28300,"Keene, NH                                                   ",5,11,11,0,0,0,0,,57,51,0,6,0,0
258,28340,"Kendallville, IN                                            ",5,14,14,0,0,0,0,,56,56,0,0,0,0
999,28380,"Kennett, MO                                                 ",5,2,2,0,0,0,0,,10,10,0,0,0,0
314,28420,"Kennewick-Richland, WA                                      ",2,167,134,2,0,31,1,,951,606,44,10,291,14
176,28450,"Kenosha, WI                                                 ",2,32,14,18,0,0,0,,335,71,86,0,178,2
484,28500,"Kerrville, TX                                               ",5,30,8,0,0,22,1,,64,42,0,0,22,1
999,28540,"Ketchikan, AK                                               ",5,23,3,0,4,16,3,,31,9,2,4,16,3
370,28580,"Key West-Key Largo, FL                                      ",5,25,20,0,0,5,1,,118,113,0,0,5,1
545,28620,"Kill Devil Hills, NC                                        ",5,26,26,0,0,0,0,,138,138,0,0,0,0
999,28660,"Killeen-Temple, TX                                          ",4,275,250,22,3,0,0,,1468,1144,216,6,102,1
300,28680,"Kingsland, GA                                               ",5,40,32,2,0,6,1,,215,203,6,0,6,1
304,28700,"Kingsport-Bristol, TN-VA                                    ",2,76,76,0,0,0,0,,530,297,2,0,231,11
408,28740,"Kingston, NY                                                ",2,41,27,4,0,10,1,,232,95,6,6,125,4
204,28780,"Kingsville, TX                                              ",5,1,1,0,0,0,0,,9,9,0,0,0,0
999,28820,"Kinston, NC                                                 ",5,8,8,0,0,0,0,,56,54,2,0,0,0
999,28860,"Kirksville, MO                                              ",5,2,2,0,0,0,0,,6,6,0,0,0,0
408,28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY                       ",2,214,61,0,3,150,10,,799,328,14,20,437,36
999,28900,"Klamath Falls, OR                                           ",5,14,14,0,0,0,0,,36,36,0,0,0,0
315,28940,"Knoxville, TN                                               ",2,531,449,0,0,82,3,,3094,2060,2,7,1025,42
294,29020,"Kokomo, IN                                                  ",2,5,5,0,0,0,0,,46,46,0,0,0,0
317,29100,"La Crosse-Onalaska, WI-MN                                   ",2,127,37,8,0,82,1,,229,131,16,0,82,1
999,29260,"La Grande, OR                                               ",5,8,8,0,0,0,0,,22,22,0,0,0,0
148,29060,"Laconia, NH                                                 ",5,58,52,6,0,0,0,,137,123,14,0,0,0
318,29180,"Lafayette, LA                                               ",2,180,180,0,0,0,0,,982,980,2,0,0,0
320,29200,"Lafayette-West Lafayette, IN                                ",2,132,42,2,0,88,2,,2296,229,4,3,2060,16
122,29300,"LaGrange, GA-AL                                             ",5,28,22,6,0,0,0,,215,205,10,0,0,0
324,29340,"Lake Charles, LA                                            ",2,48,48,0,0,0,0,,258,258,0,0,0,0
264,29380,"Lake City, FL                                               ",5,13,13,0,0,0,0,,80,76,0,4,0,0
999,29420,"Lake Havasu City-Kingman, AZ                                ",4,245,245,0,0,0,0,,1069,994,8,3,64,4
548,29470,"Lake of the Woods, VA                                       ",5,24,24,0,0,0,0,,153,153,0,0,0,0
422,29460,"Lakeland-Winter Haven, FL                                   ",2,665,614,16,12,23,2,,4273,2988,84,15,1186,107
999,29540,"Lancaster, PA                                               ",4,100,61,0,0,39,3,,691,336,4,8,343,22
330,29620,"Lansing-East Lansing, MI                                    ",2,85,55,0,4,26,1,,327,232,4,4,87,6
999,29660,"Laramie, WY                                                 ",5,14,14,0,0,0,0,,32,32,0,0,0,0
999,29700,"Laredo, TX                                                  ",4,122,99,0,6,17,3,,623,489,6,18,110,12
238,29740,"Las Cruces, NM                                              ",2,73,67,6,0,0,0,,378,352,20,6,0,0
105,29780,"Las Vegas, NM                                               ",5,0,0,0,0,0,0,,0,0,0,0,0,0
332,29820,"Las Vegas-Henderson-North Las Vegas, NV                     ",2,1308,1041,0,0,267,8,,7599,4740,408,116,2335,88
279,29860,"Laurel, MS                                                  ",5,0,0,0,0,0,0,,2,2,0,0,0,0
246,29900,"Laurinburg, NC                                              ",5,3,3,0,0,0,0,,18,18,0,0,0,0
312,29940,"Lawrence, KS                                                ",2,32,24,0,3,5,1,,101,84,4,3,10,2
400,29980,"Lawrenceburg, TN                                            ",5,4,1,0,3,0,0,,15,9,0,6,0,0
334,30020,"Lawton, OK                                                  ",2,16,14,2,0,0,0,,122,56,20,0,46,3
512,30180,"Le Mars, IA                                                 ",5,0,0,0,0,0,0,,14,14,0,0,0,0
999,30060,"Lebanon, MO                                                 ",5,19,19,0,0,0,0,,28,28,0,0,0,0
276,30140,"Lebanon, PA                                                 ",2,30,30,0,0,0,0,,147,133,2,0,12,1
999,30150,"Lebanon-Claremont, NH-VT                                    ",5,78,55,8,0,15,2,,251,197,10,6,38,6
146,30260,"Lewisburg, PA                                               ",5,8,8,0,0,0,0,,27,27,0,0,0,0
400,30280,"Lewisburg, TN                                               ",5,32,27,0,0,5,1,,154,128,0,0,26,5
999,30300,"Lewiston, ID-WA                                             ",4,173,27,2,0,144,6,,240,86,10,0,144,6
438,30340,"Lewiston-Auburn, ME                                         ",2,128,22,2,0,104,2,,231,113,14,0,104,2
999,30380,"Lewistown, PA                                               ",5,8,8,0,0,0,0,,27,27,0,0,0,0
548,30500,"Lexington Park, MD                                          ",2,73,73,0,0,0,0,,249,206,0,8,35,1
999,30420,"Lexington, NE                                               ",5,4,4,0,0,0,0,,10,10,0,0,0,0
336,30460,"Lexington-Fayette, KY                                       ",2,153,115,2,4,32,2,,987,696,20,14,257,13
999,30580,"Liberal, KS                                                 ",5,1,1,0,0,0,0,,12,12,0,0,0,0
338,30620,"Lima, OH                                                    ",2,54,14,4,0,36,6,,83,41,6,0,36,6
522,30660,"Lincoln, IL                                                 ",5,1,1,0,0,0,0,,2,2,0,0,0,0
339,30700,"Lincoln, NE                                                 ",2,317,122,0,0,195,6,,1051,443,0,4,604,18
340,30780,"Little Rock-North Little Rock-Conway, AR                    ",2,195,195,0,0,0,0,,1442,1184,32,34,192,8
558,30820,"Lock Haven, PA                                              ",5,5,5,0,0,0,0,,16,16,0,0,0,0
999,30860,"Logan, UT-ID                                                ",4,123,89,0,0,34,2,,478,396,0,0,82,4
999,30900,"Logansport, IN                                              ",5,4,4,0,0,0,0,,17,17,0,0,0,0
999,30980,"Longview, TX                                                ",4,18,18,0,0,0,0,,116,110,6,0,0,0
440,31020,"Longview-Kelso, WA                                          ",2,26,20,6,0,0,0,,133,125,8,0,0,0
105,31060,"Los Alamos, NM                                              ",5,1,1,0,0,0,0,,11,11,0,0,0,0
348,31080,"Los Angeles-Long Beach-Anaheim, CA                          ",2,2401,1034,164,48,1155,35,,10489,5298,694,184,4313,163
350,31140,"Louisville-Jefferson County, KY-IN                          ",2,726,372,2,8,344,17,,2508,1565,34,17,892,46
352,31180,"Lubbock, TX                                                 ",2,159,157,2,0,0,0,,1460,916,6,24,514,25
999,31220,"Ludington, MI                                               ",5,3,3,0,0,0,0,,15,15,0,0,0,0
999,31260,"Lufkin, TX                                                  ",5,11,9,2,0,0,0,,43,37,6,0,0,0
246,31300,"Lumberton, NC                                               ",5,24,24,0,0,0,0,,135,135,0,0,0,0
999,31340,"Lynchburg, VA                                               ",4,74,72,2,0,0,0,,537,423,4,0,110,3
999,31380,"Macomb, IL                                                  ",5,0,0,0,0,0,0,,1,1,0,0,0,0
356,31420,"Macon-Bibb County, GA                                       ",2,46,46,0,0,0,0,,231,231,0,0,0,0
999,31500,"Madison, IN                                                 ",5,5,5,0,0,0,0,,24,24,0,0,0,0
357,31540,"Madison, WI                                                 ",2,899,173,10,20,696,8,,2184,730,68,20,1366,29
999,31580,"Madisonville, KY                                            ",5,19,7,0,0,12,1,,49,37,0,0,12,1
999,31620,"Magnolia, AR                                                ",5,2,2,0,0,0,0,,10,10,0,0,0,0
284,31680,"Malvern, AR                                                 ",5,0,0,0,0,0,0,,5,5,0,0,0,0
148,31700,"Manchester-Nashua, NH                                       ",2,57,31,2,6,18,2,,275,152,16,12,95,5
999,31740,"Manhattan, KS                                               ",4,33,33,0,0,0,0,,165,114,2,0,49,3
999,31820,"Manitowoc, WI                                               ",5,12,12,0,0,0,0,,49,45,4,0,0,0
359,31860,"Mankato, MN                                                 ",2,76,60,16,0,0,0,,125,103,16,0,6,1
360,31900,"Mansfield, OH                                               ",2,14,11,0,3,0,0,,54,49,2,3,0,0
425,31930,"Marietta, OH                                                ",5,0,0,0,0,0,0,,0,0,0,0,0,0
361,31940,"Marinette, WI-MI                                            ",5,17,17,0,0,0,0,,61,59,2,0,0,0
999,31980,"Marion, IN                                                  ",5,2,2,0,0,0,0,,13,13,0,0,0,0
172,32000,"Marion, NC                                                  ",5,15,15,0,0,0,0,,78,78,0,0,0,0
198,32020,"Marion, OH                                                  ",5,5,5,0,0,0,0,,16,16,0,0,0,0
166,32060,"Marion-Herrin, IL                                           ",5,11,5,0,6,0,0,,51,26,2,23,0,0
999,32100,"Marquette, MI                                               ",5,10,10,0,0,0,0,,27,25,2,0,0,0
999,32140,"Marshall, MN                                                ",5,1,1,0,0,0,0,,9,9,0,0,0,0
999,32180,"Marshall, MO                                                ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,32260,"Marshalltown, IA                                            ",5,1,1,0,0,0,0,,18,8,0,10,0,0
542,32280,"Martin, TN                                                  ",5,3,3,0,0,0,0,,38,38,0,0,0,0
999,32300,"Martinsville, VA                                            ",5,7,2,0,0,5,1,,28,18,0,0,10,2
999,32340,"Maryville, MO                                               ",5,5,5,0,0,0,0,,21,19,2,0,0,0
999,32380,"Mason City, IA                                              ",5,17,9,2,0,6,1,,57,13,2,0,42,2
999,32390,"Massena-Ogdensburg, NY                                      ",5,24,24,0,0,0,0,,87,85,2,0,0,0
424,32460,"Mayfield, KY                                                ",5,1,1,0,0,0,0,,3,3,0,0,0,0
999,32540,"McAlester, OK                                               ",5,5,5,0,0,0,0,,18,18,0,0,0,0
365,32580,"McAllen-Edinburg-Mission, TX                                ",2,699,432,36,98,133,2,,3286,1945,184,865,292,15
999,32620,"McComb, MS                                                  ",5,0,0,0,0,0,0,,2,2,0,0,0,0
999,32660,"McMinnville, TN                                             ",5,27,22,0,0,5,1,,112,102,0,0,10,2
999,32700,"McPherson, KS                                               ",5,17,15,2,0,0,0,,41,31,10,0,0,0
240,32740,"Meadville, PA                                               ",5,6,6,0,0,0,0,,44,44,0,0,0,0
366,32780,"Medford, OR                                                 ",2,127,73,4,0,50,3,,398,302,10,0,86,4
368,32820,"Memphis, TN-MS-AR                                           ",2,279,250,0,4,25,4,,1315,1249,12,13,41,7
232,32860,"Menomonie, WI                                               ",5,13,13,0,0,0,0,,48,46,2,0,0,0
488,32900,"Merced, CA                                                  ",2,38,38,0,0,0,0,,223,223,0,0,0,0
999,32940,"Meridian, MS                                                ",5,1,1,0,0,0,0,,8,8,0,0,0,0
190,33020,"Mexico, MO                                                  ",5,3,3,0,0,0,0,,12,12,0,0,0,0
309,33060,"Miami, OK                                                   ",5,2,2,0,0,0,0,,4,4,0,0,0,0
370,33100,"Miami-Fort Lauderdale-West Palm Beach, FL                   ",2,1361,475,58,0,828,37,,7227,2299,250,168,4510,123
176,33140,"Michigan City-La Porte, IN                                  ",2,33,23,0,0,10,2,,102,69,0,0,33,6
371,33180,"Middlesborough, KY                                          ",5,4,4,0,0,0,0,,18,18,0,0,0,0
474,33220,"Midland, MI                                                 ",2,16,16,0,0,0,0,,50,50,0,0,0,0
372,33260,"Midland, TX                                                 ",2,139,139,0,0,0,0,,610,610,0,0,0,0
999,33300,"Milledgeville, GA                                           ",5,2,2,0,0,0,0,,54,36,2,3,13,2
376,33340,"Milwaukee-Waukesha, WI                                      ",2,376,181,14,4,177,6,,1272,717,90,4,461,16
